,cycle,branch,type,matchup,forecastdate,state,startdate,enddate,pollster,grade,samplesize,population,poll_wt,rawpoll_clinton,rawpoll_trump,rawpoll_johnson,rawpoll_mcmullin,adjpoll_clinton,adjpoll_trump,adjpoll_johnson,adjpoll_mcmullin,multiversions,url,poll_id,question_id,createddate,timestamp
4216,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,New Mexico,11/6/2016,11/6/2016,Zia Poll,,8439,lv,4.609492,46.0,44.0,6.0,,45.04927,41.92541,7.657972,,,http://projects.fivethirtyeight.com.s3.amazonaws.com/polls/20161107_NM.pdf,48614,76158,11/7/16,09:24:53  8 Nov 2016
4221,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,Virginia,11/3/2016,11/4/2016,Public Policy Polling,B+,1238,lv,3.923524,48.0,43.0,1.0,,47.457,42.35281,2.199139,,,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_COMIVA_110416.pdf,48349,75743,11/4/16,09:24:53  8 Nov 2016
4223,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,Iowa,11/1/2016,11/4/2016,Selzer & Company,A+,800,lv,3.842234,39.0,46.0,6.0,,39.36898,45.67372,5.995712,,,http://www.desmoinesregister.com/story/news/politics/iowa-poll/2016/11/05/iowa-poll-trump-opens-7-point-lead-over-clinton/93347134/?hootPostID=244ad51ae6af519614281eb8c6904b90,48470,75957,11/5/16,09:24:53  8 Nov 2016
4225,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,Wisconsin,10/26/2016,10/31/2016,Marquette University,A,1255,lv,3.789957,46.0,40.0,4.0,,46.10277,41.02478,2.856997,,,https://twitter.com/MULawPoll,48095,75264,11/2/16,09:24:53  8 Nov 2016
4226,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,North Carolina,11/4/2016,11/6/2016,Siena College,A,800,lv,3.774139,44.0,44.0,3.0,,44.26048,44.98719,2.236248,,,http://www.nytimes.com/2016/11/08/upshot/trump-and-clinton-tied-in-final-upshot-poll-of-north-carolina.html,48524,76066,11/7/16,09:24:53  8 Nov 2016
4227,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,Georgia,11/6/2016,11/6/2016,Landmark Communications,B,1200,lv,3.752961,46.0,49.0,3.0,,44.93772,48.44736,3.704317,,,http://landmarkcommunications.net/landmarkrosetta-stone-releases-final-sunday-poll-of-georgia-voters-for-president-senate/,48525,76068,11/7/16,09:24:53  8 Nov 2016
4228,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,Florida,11/3/2016,11/6/2016,Quinnipiac University,A-,884,lv,3.718829,46.0,45.0,2.0,,46.36561,43.9599,1.992446,,,https://poll.qu.edu/2016-presidential-swing-state-polls/release-detail?ReleaseID=2401,48522,76060,11/7/16,09:24:53  8 Nov 2016
4229,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,North Carolina,11/3/2016,11/6/2016,Quinnipiac University,A-,870,lv,3.677972,47.0,45.0,3.0,,47.36008,43.9571,2.992446,,,https://poll.qu.edu/2016-presidential-swing-state-polls/release-detail?ReleaseID=2401,48523,76062,11/7/16,09:24:53  8 Nov 2016
4230,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,Virginia,10/27/2016,10/30/2016,ABC News/Washington Post,A+,1024,lv,3.632387,48.0,42.0,6.0,,46.41451,41.55307,6.112515,,,https://www.washingtonpost.com/local/virginia-politics/clinton-leads-trump-in-virginia-in-new-washington-post-poll-propelled-by-voter-rich-northern-virginia/2016/10/31/1e560cce-9f9c-11e6-8832-23a007c77bb4_story.html,47880,74934,11/1/16,09:24:53  8 Nov 2016
4232,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,Georgia,11/3/2016,11/6/2016,Gravis Marketing,B-,2002,rv,3.572489,44.0,48.0,3.0,,43.9247,47.3765,3.773097,,,http://www.gravispolls.com/2016/11/multi-state-polls.html?m=1,48852,76448,11/7/16,09:24:53  8 Nov 2016
4233,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,Oregon,11/3/2016,11/6/2016,Gravis Marketing,B-,1963,rv,3.548932,44.0,40.0,6.0,,43.94072,39.38461,6.773097,,,http://www.gravispolls.com/2016/11/multi-state-polls.html?m=1,48855,76451,11/7/16,09:24:53  8 Nov 2016
4235,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,Ohio,11/3/2016,11/6/2016,Gravis Marketing,B-,1781,rv,3.417108,42.0,48.0,4.0,,41.93433,47.38138,4.773097,,,http://www.gravispolls.com/2016/11/multi-state-polls.html?m=1,48854,76450,11/7/16,09:24:53  8 Nov 2016
4236,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,South Carolina,11/3/2016,11/6/2016,Gravis Marketing,B-,1751,rv,3.393813,43.0,48.0,3.0,,42.925,47.37665,3.773097,,,http://www.gravispolls.com/2016/11/multi-state-polls.html?m=1,48857,76453,11/7/16,09:24:53  8 Nov 2016
4237,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,Ohio,11/2/2016,11/4/2016,YouGov,B,1189,lv,3.384065,45.0,46.0,,,44.87926,45.07765,,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/vvlr48n70w/OH_Prelim_20161106.pdf,48481,75977,11/6/16,09:24:53  8 Nov 2016
4238,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,Virginia,11/1/2016,11/2/2016,Remington,,3076,lv,3.373787,46.0,44.0,,,45.23176,41.96497,,,,http://docs.axiomstrategies.com/wp-content/uploads/2016/11/ABC_Press_Release-110616.pdf,48494,76000,11/6/16,09:24:53  8 Nov 2016
4239,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,New York,11/3/2016,11/6/2016,Gravis Marketing,B-,1681,rv,3.337564,55.0,36.0,2.0,,54.9355,35.38197,2.773097,,,http://www.gravispolls.com/2016/11/multi-state-polls.html?m=1,48853,76449,11/7/16,09:24:53  8 Nov 2016
4240,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,Michigan,11/3/2016,11/4/2016,Public Policy Polling,B+,957,lv,3.331139,46.0,41.0,6.0,,45.46421,40.35653,7.199139,,,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_COMIVA_110416.pdf,48348,75741,11/4/16,09:24:53  8 Nov 2016
4241,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,North Carolina,10/31/2016,11/1/2016,Public Policy Polling,B+,1169,lv,3.322677,49.0,47.0,,,47.93265,45.98781,,,,https://cdn.americanprogress.org/content/uploads/sites/2/2016/11/03143903/NationalMemo112-Final.pdf,48326,75699,11/4/16,09:24:53  8 Nov 2016
4242,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,Wisconsin,11/1/2016,11/2/2016,Remington,,2720,lv,3.256398,49.0,41.0,,,48.19033,38.92152,,,,http://docs.axiomstrategies.com/wp-content/uploads/2016/11/ABC_Press_Release-110616.pdf,48495,76001,11/6/16,09:24:53  8 Nov 2016
4243,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,Pennsylvania,11/1/2016,11/2/2016,Remington,,2683,lv,3.245717,46.0,45.0,,,45.27345,43.00687,,,,http://docs.axiomstrategies.com/wp-content/uploads/2016/11/ABC_Press_Release-110616.pdf,48493,75999,11/6/16,09:24:53  8 Nov 2016
4244,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,Virginia,11/1/2016,11/6/2016,Christopher Newport University,B-,1193,lv,3.233819,48.0,42.0,3.0,,48.89658,43.81635,2.024311,,,http://www.nbc12.com/story/33645067/poll-clinton-leading-trump-by-6-points-in-va,48512,76034,11/7/16,09:24:53  8 Nov 2016
4245,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,North Carolina,11/1/2016,11/2/2016,Remington,,2596,lv,3.219699,45.0,48.0,,,44.37399,46.1083,,,,http://docs.axiomstrategies.com/wp-content/uploads/2016/11/ABC_Press_Release-110616.pdf,48491,75997,11/6/16,09:24:53  8 Nov 2016
4246,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,Ohio,11/1/2016,11/2/2016,Remington,,2557,lv,3.207606,44.0,45.0,,,42.9932,42.72552,,,,http://docs.axiomstrategies.com/wp-content/uploads/2016/11/ABC_Press_Release-110616.pdf,48492,75998,11/6/16,09:24:53  8 Nov 2016
4247,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,Georgia,11/3/2016,11/5/2016,YouGov,B,995,lv,3.185894,43.0,49.0,4.0,,43.75534,48.97356,5.175492,,,https://today.yougov.com/news/2016/11/07/yougov-final-polls-battleground-states/,48682,76245,11/7/16,09:24:53  8 Nov 2016
4248,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,Missouri,10/31/2016,11/1/2016,Public Policy Polling,B+,1083,lv,3.173688,37.0,50.0,4.0,,36.56897,49.62803,5.020693,,,http://images.campaignpartner.net/images/15290/MissouriResults112.pdf,48119,75343,11/2/16,09:24:53  8 Nov 2016
4249,2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,New Hampshire,11/4/2016,11/5/2016,Emerson College,B,1000,lv,3.168547,45.4,43.8,4.5,,45.41758,41.68962,4.766057,,,projects.fivethirtyeight.com/polls/20161107_Swing_1.pdf,48519,76055,11/7/16,09:24:53  8 Nov 2016
